prompt,response
PE1: G/L account change,"Issue/Request: PE1: G/L account change
Root cause: G/L account: 5020201004 is fetching based on the valuation class: 6235 which used in service master: 3000133, Vendor: 10018630 account group: ZK01 as configured of table: ZFI_EXPENSEACC
Solution: Suggested user to connect with their local AP if wants to update the G/L account

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: Change request in decimals notation,"as per my knowlege by Srikanthreddy, Kommidi (GE Vernova, consultant)
2:47 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
as per my knowlege
at the first time, U thought as on-premise ... by Dumlu, Melis (GE Vernova)
Dumlu, Melis (GE Vernova)
3:11 PM
at the first time, U thought as on-premise but later ? have realized that we ar able to use SAP (Powermax) even we are at abroad or at any location apart from office. And this made me confused
do you know how can I learn this informaito... by Dumlu, Melis (GE Vernova)
Dumlu, Melis (GE Vernova)
3:11 PM
do you know how can I learn this informaiton within GE side ?
we can use any where with GE credentials by Srikanthreddy, Kommidi (GE Vernova, consultant)
3:13 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
we can use any where with GE credentials
I will check only access part melis by Srikanthreddy, Kommidi (GE Vernova, consultant)
3:13 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
I will check only access part melis
you can check with your local IT team by Srikanthreddy, Kommidi (GE Vernova, consultant)
3:13 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
you can check with your local IT team
okay thank you by Dumlu, Melis (GE Vernova)
Dumlu, Melis (GE Vernova)
3:14 PM
okay thank you
just last point regarding PMX. Powermax is ... by Dumlu, Melis (GE Vernova)
Dumlu, Melis (GE Vernova)
3:14 PM
just last point regarding PMX. Powermax is SAP sofware specific for GR company ?
Regarding default update should I proceed t... by Srikanthreddy, Kommidi (GE Vernova, consultant)
3:14 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
Regarding default update should I proceed to close this incident
Begin Reference, just last point regarding ... by Srikanthreddy, Kommidi (GE Vernova, consultant)
3:15 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
Dumlu, Melis (GE Vernova)
1/8/2024, 3:14 PM
just last point regarding PMX. Powermax is SAP sofware specific for GR company ?
https://mytech.ge.com/portal/
MyTech Portal
MyTech Portal
mytech.ge.com
by using this link  you can download by Srikanthreddy, Kommidi (GE Vernova, consultant)
3:15 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
by using this link  you can download
Begin Reference, Regarding default update s... by Dumlu, Melis (GE Vernova)
Dumlu, Melis (GE Vernova)
3:15 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
1/8/2024, 3:14 PM
Regarding default update should I proceed to close this incident
Yes please you can close..
Thank you by Srikanthreddy, Kommidi (GE Vernova, consultant)
3:15 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)
Thank you
has context menu
Compose"
PE1: PO pdf,"Issue/Request: PO pdf
Root cause: Business requirement
Solution: Connected and explained user to take take the PO print.

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Output]"
PE1: To recovery deleted entry sheet,"Issue/Request: To recovery deleted entry sheet
Root cause: Business reqquirement
Solution: As per the standard system functionality not possible to recover the deleted SES

Closing the ticket as user confirmed, attached closure confirmation
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: extend supplier 10069392 under PORG HU51
Root cause: Business requirement
Solution: Suggested user to connect with SCX team for vendor master updates.

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: Unable to delete the order,"Issue/Request:PE1: Unable to delete the order-When I try to delete order I get an error like ""Please specify a valid
account assignment"" even though all lines are deleted. I couldn't save
the document to delete order beacuse this error. When I unlock the lines
(undo to delete lines) this error disappear. Waiting for your support.

Root cause: User training .A/c assignment used was wrongly assigned.
 
Solution: Suggested user to use alternate WBS element which is valid and close the PO. It worked.

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: PO TOTAL AMOUNT IS NOT CORRECT,"Actual Issue: PE1: PO TOTAL AMOUNT IS NOT CORRECT
Hello All,

PO total amount is not showing the correct data, I need support on that
urgently

Root Cause: NA

Resolution or Suggested steps: We have asked the user to remove the prices from the deleted lines. It was causing an issue while total calculation at the header status.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: GE non valuated error,"Issue/Request: GR non valuated option not editable in PO.
Root cause: WBS: EHL-000139-0399AFD70 which used in PO created for valuated stock, hence system not allowing to enable the ""GR non-valuated"" option in PO.
Solution: Suggested user to connect with their local project ream to get non valuated project to be updated in PO, then user can be able to edit.

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Changes]
"
#PO# 4102506176 - please check and advise on attached error.,"""Issue/Request: PO creation issue

Root Cause: NA

Solution/Action: User successfully saved the PO in PE1 system

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
PO-4102018224 V0 05-14-2020 99529955 - PO PDF triggered now for this 2020 PO,"Issue/Request: PO-4102018224 V0 05-14-2020 99529955 - PO PDF triggered now for this 2020 PO
Root cause: Based on changes made against for WBS Project, Background Job: ZPS_PO_OUTPUT_FROM_PROJECT running and updating PO output(NEU). We could see PO: 4102018224 Purchase Org: BH51 is included at Variant level.
Solution: Provided the root cause of the issu and suggested user to go RFC if required PO output level changes.

Closing the ticket as user confirmed, attached closure confirmation
"
Mass update WBS billing indicator using FireFighter ID in PE1 system.,"Issue: Mass update WBS billing indicator using FireFighter ID in PE1 system.

Root Cause:  WBS billing indicator was missing on multiple WBS elements

Resolution: Master data changes cannot be performed by FFID, same has been informed to user.

Closure Confirmation:
[Yesterday 10:20 PM] Ukirde, Shubhangi (GE Vernova, consultant)
Could you please confirm on GEINC14612049 closure?

[5:51 PM] Malaruthu, Roshan (GE Vernova)
go-ahead 

[6:21 PM] Ukirde, Shubhangi (GE Vernova, consultant)
Thanks for the confirmation!"
PO 4102340191 -  GRN reversed but value is different,
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: We have a report which uses the ""Deliv. Compl."" checkbox at the PO Line Level to determine if a PO is still active or not.  However, there are a lot of PO's which are actually completely delivered but the box is not getting checked.  Can you advise when in the process this box should be going to checked?  The buyers tell me it is not part of their standard work to check this box, and that it must be happening automatically (when it is checked).  Here is an example PO 4101992287 line 10

Root cause: PO Qty changed to match the GR value.
 
Solution: provided user with RCA and user confirmed closure.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: to i[date the PO line 40 to Service PO line,"Issue/Request:PE1: to i[date the PO line 40 to Service PO line
 Please update PO line 4102309397-40 to service PO as the sourcing team
are unble to do so.Referring to the attached files in this ticket.
Thank you,
Inam

Root cause: Item category 'D' cannot be used when Material is used.
 
Solution: Provided information to user .Short text need to be used in PO line which is having Item category 'D' .

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.
"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Blocked from completing PGI for OBD  80781731 with Message No M8147 Account Determination for entry A10 GBB 0001____4200 not possible
Root Cause: NA
Resolution: we are working on same issue with another ticket GEINC14334592 and closing this ticket to avoid duplication.
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: I need to reprocess the GR for PO 4102478671.  Could you please provide the document number
Root Cause: As per the business request
Resolution: shared below the GR documents details for PO 4102478671 in PMx.

PO number Line item GR Document GR processor
4102478671 10 5008839734 Walker, Kaitlin-223070173
4102478671 20 5008839734 Walker, Kaitlin- 223070173
4102478671 30 5008839734 Walker, Kaitlin- 223070173

 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: PO's Release issue
Root cause: Business requirement
Solution: Issues resoved from user end and PO's release successfully

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Release strategy]
"
PE1: 4102191211-60- GR Price need to be Revised and changed,"Issue/Request: 4102191211-60- GR Price need to be Revised and changed
Root cause: GR and IR transaction has been done in incorrect process. Hence GR and IR values mismatch occurred.
Solution: Suggested user to follow the provided steps to match the GR and IR values

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: GR/IR mismatch]
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: 
Requester Tiffanie Brown is having an error when trying to receive po's 4200267572 and 420026757. These are new po's that were issued because the original po's had issues. Please work with the requester to have these po's received in PMX. I am the buyer so I cannot do the receiving, The requester needs to do the receiving,


Root cause: Without Order acknowledgement (AB) user cannot perform GR .

Solution: Suggested user after acknowledgement received from supplier you need to perform inbound delivery through VL31N and post GR through VL32N.User created new PO and performed GR.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: EventVision,"Issue/Request: PO copy request
Root cause: Business request
Solution: Proivded the PO copy as requested

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: @5C\QError@ Ship-to party is blocked for delivery: 002007736,"Actual Issue: PE1: @5C\QError@ Ship-to party is blocked for delivery: 0020077
Trying to create an outbound delivery for vendor 10735833. Getting the
error that their customer ID number is blocked, can you please extend
for company code 5250, purchasing org US71

Root Cause: The customer linked to the vendor master was blocked.

Resolution or Suggested steps: The MDM and SCX team helped to update the new customer in vendor master data and finally the OBD was completed.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Please create buyer code for Sam DeDominicis,"we have created new service request: GERITM44587588 on behalf of user as per OMS guidelines.

Hence, closing this ticket."
Please find out why these PO's are not sending a confirmations from the SO (Bangor) back to the PO (GVL).,"Actual Issue: Please find out why these PO's are not sending a confirmations from the SO (Bangor) back to the PO (GVL).
Root Cause: Customer material field data was missed in PO lines
Resolution: guided user to add missing data in SO lines and also updated promise dates so that AB confirmation sent successfully.

Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
"
MyTech Business Application Support: SAP Controls CORA Functional/Tech/Others,"Actual Issue: Kindly assist to change Conf. Control of PO 4102444571 to ARIBA (ASN Optional)
Please revert update once configurate complete.
Refer attached as reference.

Root Cause: NA

Resolution or Suggested steps: We have guided user on how to changes the CCK at po line item.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI]-Item category change ,
"We are unable to reverse the invoice ,getting attached error.",
[ES]GE Hydro ERP-IBS Interface,
PY1: Issue in PY1-100 reported by 204056440,"· Issue/Request :-I am unable to open NCR 600200425 which was routed to me
	· Root Cause:- Browser cache not cleared from long time.
	· Solution/Action :-Suggested user to cleared cache. Browser working well. ""Closing the ticket as confirmed by user""
Please share your feedback on ticket closure using the link https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Browser Issue
Category-2:Cache"
Inquiry find 1426 report,"[Category: User Training]
[Category1:Repot Details ]
[Category2: 1426 Report loaction and details]

Issue:Inquiry find 1426 report

Root Cause: User is not able to find teh loaction details for 1426 report

Solution: 1426 report details provided to the User and closing as oer the User confirmation

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
#PPS_S_RELEASE_SEP23 –GET-66849 - Hydro CORA Deployment (Gas Power template),
GEINC14084152,"Problem Statement : 4102095035-10  Invoice Number: XYI2141068 and 4102173417-10  Invoice Number: XYI2241019 not posted with below error please check
RCA : we have suggested user raise support center for open and posting period
Solution : we have suggested user raise support center for open and posting period 
CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-   https://app.sc.ge.com/surveys/create/569816
Category: User Training 
Category-1:Posting issue.
Category-2:Posting issue."
 I am unbale to cancel the invoice. Getting attached error.,"Problem Statement :  I am unbale to cancel the invoice. Getting attached error.
RCA : We have provided detailed analysis to user
Solution : We have provided detailed analysis to user
		
CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Document Posting
Category-2: Invoice"
 What Type of ActTyp for blood donation in PMX_Portal( SAP ) - vouchring,"Issue:  What Type of ActTyp for blood donation in PMX_Portal( SAP ) - vouchring

Resolution: User received correct ActTyp from business.

Closure Confirmation:
[Yesterday 12:17] Ukirde, Shubhangi (GE Vernova, consultant)

This is regarding incident GERITM41970140 - What Type of ActTyp for blood donation in PMX_Portal( SAP ) - vouchring

[13:14] Kosek, Jaroslaw (GE Vernova)

HIi, you may close this icident,

[Category: User Training]
[Category1: Activity Type Selection]
[Category2: Activity Type]"
Yonir payment return ,
"Doc number 10001738 was approved but went to error in PMX, but don't know why.","Problem Statement : Doc number 10001738 was approved but went to error in PMX, but don't know why.
RCA : this issue resolved internally, no action required from L2 support team
Solution :  this issue resolved internally, no action required from L2 support team
		
CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: MJE
Category-2: 
"
PE1: not able to offset the doc,"Problem Statement : PE1: not able to offset the doc
RCA : there is a recent change in customer master, we requested user to reach out LDA team to update that change
Solution : there is a recent change in customer master, we requested user to reach out LDA team to update that change
		
CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Document Posting
Category-2: Invoice
"
MJE is Parked not yet Posted in Coco 5570(LE-AL7303),"Category: User Training
Category-1: MJE
Category-2: Posting

Actual Issue/Request: User is facing issue as workflow is triggering error while posting MJE 

RCA :  Workflow error

Solution :   user has been advised to edit journal and resubmit the  workflow, Now the document is posted successfully \

User confirmed the closure 

Requested feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

"
[NSCI]-PR's #28173481 #28173472 #28173474 #28173475,
[MONI] As part of monitoring  FCC_001_* jobs got failed in PE1/400,"Issue: Moni as part of monitoring jobs cancelled in PE1 system
 
Root Cause: While setting the job some task is not maintained correctly.
 
Resolution: User has to maintain the task appropriately
 
Closure Confirmation:
Duplicate incidents are raised with respect to similar issue, we are working against incident GEINC14110639. Will close this incident and work on reference incident.
 
[Category: User Training]
[Category1: Project Job Scheduling]
[Category2: Job Scheduling]"
[MONI] As part of monitoring  FCC_SETTLEMENT*  jobs got failed in PE1/400,"Issue: Moni as part of monitoring jobs cancelled in PE1 system
 
Root Cause: While setting the job some task is not maintained correctly.
 
Resolution: User has to maintain the task appropriately
 
Closure Confirmation:
Duplicate incidents are raised with respect to similar issue, we are working against incident GEINC14110639. Will close this incident and work on reference incident.
 
[Category: User Training]
[Category1: Project Job Scheduling]
[Category2: Job Scheduling]"
Billing team has generated invoice#995233679,"Category: User Training 
Category-1:Posting exchange rate
Category-2:Posting issue.

Actual issue : Billing team has generated invoice#995233679

RCA : Accounting is successfully released 

Solution : Accounting is successfully released . We informed to user the same.

Got closure from user."
MyTech Business Application Support: PowerMax - Not working (broken),"Issue : We need to credit remaining amount for invoice 995217308. We are not able to create credit memo since it is cross comapny sales order. 

RCA/solution : Provided to user with reference successful Credit memo created under Company Code : PUX8
Example : Credit Memo :  995210584
With reference to Original Sales order, Credit memo billing plan Order created (ZCRB) With credit memo order created credit memo invoice ( ZG2)

As there is no action item pending with L2 team with user confirmation on the closure we are going ahead and closing this ticket.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

Category [ User Training ]
Category 1 [ Order with credit memo ]
Category 2 [ Credit memo Invoice ]
"
Vendor 2013227  Credit Note,"Category : User Training
Category-1: Document Posting
Category-2: Invoice
Actual Issue/Request: Vendor 2013227  Credit Note
 
RCA : User was not aware of clearing the vendor document
 
Solution : guided user to clear the document, user was confirmed for closure
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.

Requested feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
"
"we have this account we think it's an error because MOR runs partially in GL 1510198002. looks like for the foreign currency balance in 1511801000, FX balance a","Category: User Training 
Category-1:Postingissue.
Category-2:Posting issue.

Actual issue : we have this account we think it's an error because MOR runs partially in GL 1510198002. looks like for the foreign currency balance in 1511801000, FX balance a

RCA : User unable to clear open items .
needs to guide user.

Solution : User unable to clear open items needs to guide user to clear open items.

Got closure from user via teams chat.
"
[QEC03-2023]FB70 invoices on parked not posted,"Prob:]FB70 invoices on parked not posted
RCA:User has no authorisation
Sol:User needs to wait for the person who posted the  invoice in FB70


[1:26 PM] Anireddy, Pranavi (GE Vernova, consultant)

We are marking it closed

[1:26 PM] Maliach, Ronen (GE Vernova)

Sure

[1:26 PM] Maliach, Ronen (GE Vernova)

Thanks


Category: User Training
Category-1: MJE
Category-2:
"
Moni as part of monitoring jobs canclled in PE1 system ,"Issue: Moni as part of monitoring jobs cancelled in PE1 system 

Root Cause: While setting the job some task is not maintained correctly.

Resolution: User has to maintain the task appropriately 

Closure Confirmation:
Duplicate incidents are raised with respect to similar issue, we are working against incident GEINC14110639. Will close this incident and work on reference incident.

[Category: User Training]
[Category1: Project Job Scheduling]
[Category2: Job Scheduling]"
[NSCI] - SAP PMX issue,"Issue/Request: [NSCI] - SAP PMX issue-
SAP Issue - PO creation error with a specific PR (Purchase requisition)
Can someone help me with the issue please. Thanks in advance
[Category:User training]
[Category1:Purchase order]
[Category2:creation]

Root cause: The Quantity value entered too High number in PR with ref. create PO. So, its throwing the runtime error(ABAP dump). Its an arithmetic overflow error

Solution: Suggested user to flip the value and Qty in PR and create the PO. Tested in QE1 it was successful.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: Line 20 need to be cancelled,"Issue/Request: PE1: Line 20 need to be cancelled
Line 20 Cancellation not possible, need your support to cancel the Line.
Getting Error ZPP107 while saving after deleting the Line and it will
trigger back
[Category:User training]
[Category1:Purchase order]
[Category2:Cancellation]

Root cause: Issue  due to Sales order associated with PO was already blocked at header level.
 
Solution: Suggested user to remove account assignment category from Po line and then place deletion indicator. It worked.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: Line 20 need to be cancelled,"Issue/Request: PE1: Line 20 need to be cancelled
Line 20 Cancellation not possible, need your support to cancel the Line.
Getting Error ZPP107 while saving after deleting the Line and it will
trigger back
[Category:User training]
[Category1:Purchase order]
[Category2:Cancellation]

Root cause: Issue  due to Sales order associated with PO was already blocked at header level.
 
Solution: Suggested user to remove account assignment category from Po line and then place deletion indicator. It worked.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: PowerMax - Not working (broken),"Issue: Work Order Number not populating. 

Root Cause: Issue faced due to inconsistency

Resolution: Re-pushed the Notification from PMAX to SMAX.

Closure Confirmation:
[15:40] Ukirde, Shubhangi (GE Vernova, consultant)

This is regarding incident GEINC14076438 - Work Order Number not populating.

[15:40] Ukirde, Shubhangi (GE Vernova, consultant)

Work Order is now generated

[15:42] Ukirde, Shubhangi (GE Vernova, consultant)

Could you please confirm if the incident can be closed now?

[18:00] McDougall, Katrina (FieldCore)

Yes, incident can now be closed. I responded in the ticket as well. 

[18:06] Ukirde, Shubhangi (GE Vernova, consultant)

Thanks for your confirmation!

[Category: User Training]
[Category1: Notification]
[Category2: SMAX]"
PE1: Unable to Reversal,"Issue: PE1: Unable to Reversal

Root Cause: While reversing document error for WBS status being CLSD was faced.

Resolution: CLSD status was revoked from WBS

Closure Confirmation:
[19:38] Ukirde, Shubhangi (GE Vernova, consultant)

CLSD i.e. Closed status is now revoked from WBS 

[19:38] Ukirde, Shubhangi (GE Vernova, consultant)

 

 

[19:38] Ukirde, Shubhangi (GE Vernova, consultant)

Could you check and let us know if this issue has been resolved now ?

[19:39] Ukirde, Shubhangi (GE Vernova, consultant)

And can we close incident GEINC14110918?

[19:57] Dey, Amit (GE Vernova, consultant)

Resolved please close the ticket

[19:58] Ukirde, Shubhangi (GE Vernova, consultant)

Great, thanks for the confirmation!

[Category: User Training]
[Category1: WBS Status]
[Category2: WBS]"
[NSCI] SES Error ,"Actual Issue: SES Error 
Hi Team,
I am facing SES Error I am unable to perform the SES request can  you please help it out.

Resolution or Suggested steps: We have suggested user to check and post the SES according to the available balance.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Service Entry Sheet]
[Category2: Creation]"
PE1: PKWP000016,"Actual Issue: PE1: PKWP000016
HI Team

Please change the release strategy setup . Approver name is Rohit Banga.
SSO ID 105047711

Root Cause: NA

Resolution or Suggested steps: We have provided the approver names to the user and they have to approve the PO. PO approved later.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase Order]
[Category2: Release strategy]"
PE1: store location inquiry,"Actual Issue: PE1: store location inquiry
Dear Sir,
I need guidance again for the putting store location for PO4102418528

Root Cause: Data missing in GR

Resolution or Suggested steps: Guided user on how to check and complete the missing data in GR and PO.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase Order]
[Category2: GR]"
PE1: unable to offset SA type document,"Problem Statement : PE1: unable to offset SA type document
RCA : the document has been cleared now
Solution :   the document has been cleared now
		
CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816


Category: User Training
Category-1: Document Posting
Category-2: Invoice"
PY1: Issue in PY1-100 reported by 212634495,"Issue:   Notification 600189913 is locked even the person already went out of
the notification. 
RCA:   suggested step: opened  in new window
Solution: user tried  with in cognitive window it works. with user permission incident is closing
Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816
[Category: User training]
[Category 1:Browser issue]
[Category 2:  cache ]"
PY1: Issue in PY1-100 reported by 300015253,"Issue: Unable to book timesheet in MYTIME for WO-05855371 & WO-05855372

Root Cause: 'Account Assignment Element' indicator is not activated.

Resolution: User will get Account Assignment Element activated.

Closer confirmation:
Kindly refer attached mail confirmation.

[Category: User training]
[Category1: Project WBS]
[Category2: WBS]"
Sales Documents stuck in billing que - clearing of errors in VF04 billing Que for coco 5250> plant code 5251,"Issue : Sales Documents stuck in billing que - clearing of errors in VF04 billing Que for coco 5250> plant code 5251,

RCA/Solution : AS discussed over the teams call regarding the VF04 billing due list >> PO related Document's with Billing type - ZF8 need to be removed/Cancel from the due list,
As suggested need to delete the billing documents (or) assign billing block at delivery level (or) to complete the pending invoices available.

As nothing is pending from our end, with user confirmation on the closure of ticket we are going ahead and closing the ticket.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

Category:  User Training
Category-1: Document Posting
Category-2: Invoice"
[NSCI]-PO 4102358052 Line 80 ,"Issue/Request: [NSCI]-PO 4102358052 Line 80 
PO 4102358052 Line 80  - Issue with creating GRN, can  you please assist.

[Category:User training]
[Category1:Goods receipt]
[Category2:Creation]

Root cause: PO was created with ZGPS confirmation control key.
 
Solution: Suggested user to remove the ZGPS and do the GR through MIGO and it was successful.

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
[NSCI] PO Documents extract,"Actual Issue: PO Documents extract
Hi, 
We need to extract some old POs from SAP to send them to the French authorities. 
Since in Offshore we are using Races now, can you please help extracting the original POs  in PDF for below Numbers ? 

Company code : 2490
4101242235
4101437027
4101561676
4101706618
4101667081
4101579600
4101672807
4101658251
4101658247
4200171564
4101803403
4101637820
4101808128
4101863097

Thank you for your support, 
Regards, 
Zineb 

Resolution or Suggested steps: We have provided the PO copies to the team as they do not have the access to SAP anymore, this was required for government audits.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase Order]
[Category2: Output]"
user unable to pull the FBL3n report from SAP PMX erp.,"Category: User Training 
Category-1:Posting issue.
Category-2:Posting issue.

Actual issue : user unable to pull the FBL3n report from SAP PMX erp.

RCA : user unable to see fbl3n report.
We have guided user to how to change layout and all then user able to vie report.

Solution :  user unable to see fbl3n report.
We have guided user to how to change layout and all then user able to vie report.

Got closure from user."
"""NOT ABLE TO VOUCHER HOURS IN POWERMAX""","Issue: NOT ABLE TO VOUCHER HOURS IN POWERMAX

Resolution: One WBS does not exists in PMAX system user will check and correct the WBS, for other 2 WBS rates for cost center and activity type was missing for year 2023, user will get them maintained.

Closure Confirmation:
[17:54] Freimuth, Jim (GE Vernova)

i think you can close the ticket

[17:54] Freimuth, Jim (GE Vernova)

now

[17:55] Freimuth, Jim (GE Vernova)

that i have this information

[17:55] Ukirde, Shubhangi (GE Vernova, consultant)

Oh, great, thanks for the confirmation!

[Category: User Training]
[Category1: Project]
[Category2: Budget]"
PE1: project planning cockpit,"Issue: PE1: project planning cockpit can not do ppc in zppc it is not refreshing in GR55.

Root Cause: User required guidance to use report.

Resolution: User is able to access the report

Closure Confirmation:
[17:40] Ukirde, Shubhangi (GE Vernova, consultant)

Could you please confirm if incident GEINC14030779 can be closed, since there is no pending action with us?

[17:40] Kaplan, Meltem (GE Vernova)

ok thanks

[17:43] Ukirde, Shubhangi (GE Vernova, consultant)

Great, thanks for the confirmation!

[Category: User Training]
[Category1: Project]
[Category2: PPC]"
Budget Issue,"Issue: The update on the PO# is failing to reach Ariba with error budget exceeded on WBS

Resolution: User required information about negative commitment. As budget availability control might not be activated budget can be negative.

Closure Confirmation:
[17:35] Ukirde, Shubhangi (GE Vernova, consultant)

Can we close ticket GERITM42051028?

[17:35] Patan, Roshanjameer (GE Vernova, consultant)

yes, please

[17:36] Ukirde, Shubhangi (GE Vernova, consultant)

Great, thanks for the confirmation!

[Category: User Training]
[Category1: Project]
[Category2: Budget]"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Hi Team,

Unable to do receipt for Line 90, 10 of PO#4102334386
https://pmxportal.power.ge.com/irj/portal

Kindly help to fix this issue, contactable via Email or MS Teams
Thank You

Root Cause: The line items were fully delivered

Resolution or Suggested steps: Suggested user to check the qty again and if it is increased, please update the PR and PO qty and then do the GR. 
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase Order]
[Category2: GR]"
PY1: Issue in PY1-100 reported by MMASLANK,"Issue:  Notification: user  have a problem in Fiori, Workbench, and to find or to do extracts
file , to find NCR/SDR by purchase order by Material, by supplier etc, when I go to workbench: I mark filter but there is no possibility more filters. There is only Header set: included void and closed.
RCA:  connect with user this display issue when zoom in here more filters  available.
Solution :user checked which she wants It is working. by user confirmation incident is closing.
Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816
[Category: User training]
[Category 1: Browser issue    ]
[Category 2:  Unsupported version ]"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: Hi Team ,

While trying to create a PO i found the error

[Category:User training]
[Category1:Purchase order]
[Category2:creation]

Root cause: GL account not correct in Account assignment  in the PO.
 
Solution: Suggested user to user correct GL account relevant to the PO org.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
