Number,Opened,Short description,Assignment group,Created Month,Functional Area,IAC affected,OneERP Country / Entities Impacted
INC0255705,21-06-2024 16:59,One ERP - Wave 3 - please perform PZN switch in material substitution table PZN 8516418 to be erased from 2000000877 to 2000001325,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Procure to Pay,,Poland
INC0256136,26-06-2024 15:44,Posted Journal Entry Issue,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Service Entities
INC0254590,11-06-2024 15:56,Daily reconciliation report doesn't match with IDocs failures,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Order to Cash,,Italy
INC0255902,24-06-2024 18:59,Ireland -change SAP address,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Australia
INC0256260,27-06-2024 16:11,ONE ERP: Reopen RITM0181643,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Multiple
INC0254380,07-06-2024 20:25,Idocs failure,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Procure to Pay,,Multiple
INC0253849,03-06-2024 16:30,Journal Reversal,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Service Entities
INC0255677,21-06-2024 13:24,Credit Memo not reflected in general ledger after credit memo completion,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Korea
INC0253863,03-06-2024 17:56,"SAP Journal Entry_""Failed"" after approval",L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Japan
INC0255588,20-06-2024 18:24,ONE ERP: ACCOUNT TO BE MAPP IN ALTERNATIVE ACCOUNT AND TO BE UNBLOCK,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Italy
INC0254357,07-06-2024 17:23,we are not getting statements into SAP through EBS.,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Order to Cash,,Germany
INC0254148,05-06-2024 21:57,AT01 Employee ALEKSANDR VASILEV PR AGENCIJA ZA KONSALTING -WAVE 3,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Procure to Pay,,Austria
INC0256314,27-06-2024 21:09,Mapping for SKUs into Brands in Foundation wrong,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Austria
INC0256293,27-06-2024 18:59,INC0254142 - still have an issue here - wrong posting on BS Initial account,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Record to Report,,Austria
INC0253380,28-05-2024 20:35,One ERP - W3 - please set up commodity code,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Technical,,Australia
INC0252154,14-05-2024 14:30,Can not apply to MDG due to Bank account,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Procure to Pay,,Japan
INC0252696,20-05-2024 08:56,OneERP W2 ANZ - IAC AR invoices not posted to GL 12300000 Receivable IAC,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Record to Report,,Australia
INC0253384,28-05-2024 20:58,Regarding net-off loan and invoice in services entity,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Record to Report,,Service Entities
INC0251894,10-05-2024 19:11,ERP - problem matching invoices and customer payments,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Record to Report,,Italy
INC0252846,21-05-2024 13:00,Unable to apply for MDG as bank branch is not registered,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Procure to Pay,,Japan
INC0251638,08-05-2024 19:21,Bank details not in SAP,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Record to Report,,Service Entities
INC0251229,02-05-2024 23:53,ONE ERP -  21120000 for manual posting,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Record to Report,,Italy
INC0253169,24-05-2024 10:25,The registration of the following three request tickets to MDG is incomplete. Please respond as soon as possible.,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Procure to Pay,,Japan
INC0253010,22-05-2024 16:37,"I cannot pay Tatiana Vilchez Quino as in SAP is not appearing the swift code, please can you complete it?",L2 - OneERP - S/4 HANA - CFS BAU,May-24,Procure to Pay,,Spain
INC0251324,03-05-2024 23:03,ONE ERP: Alternative account to be mapp,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Record to Report,,Italy
INC0252602,17-05-2024 18:44,SAP: ORDER DELIVERED AND NOT INVOICED,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Supply Chain,,Italy
INC0253181,24-05-2024 15:10,JP01_SAP_delete and reversal the Payment Run,L2 - OneERP - S/4 HANA - CFS BAU,May-24,Record to Report,,Japan
INC0251758,09-05-2024 16:58,JP SAP - To complete financial transactions after reversal of PR/PO,L2 - OneERP - S/4 HANA - CFS BAU,May-24,"Procure to Pay, Record to Report",,Japan
INC0269135,05-11-2024 23:55,URGENT POSTING IN SAP FOR SALES SUBMISSION,L2 - OneERP - S/4 HANA - CFS BAU,Nov-24,,,
INC0267702,18-10-2024 19:25,SPAIN SAP - new customer 10036407 HNAS HOSP SAGRADO CORAZON DE JESUS / 08760 MARTORE -Conditions records need to be kept up to date,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Order to Cash,,Spain
INC0267582,17-10-2024 14:17,Request for Ticket Processing Regarding Change of Approval Authority_SAP Credit memo,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Order to Cash,,Korea
INC0265926,02-10-2024 22:00,OneERP Hyper care - Netherland (Material out of stock) & pricing,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Order to Cash,,Netherlands
INC0266827,10-10-2024 18:20,"While uploading the journal i am getting error for Quantity, could you please help me to resolve this issue.",L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,,,
INC0268156,24-10-2024 16:27,Company Code NL06 is not defined,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,,,
INC0266718,09-10-2024 20:31,SAP BAU Team - cancel PO,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Procure to Pay,,Switzerland
INC0268467,29-10-2024 19:17,Concur expense is booked under disable supplier code,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Procure to Pay,,Japan
INC0265760,01-10-2024 19:33,Kindly provide your assistance to close the journal,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Norway
INC0266052,03-10-2024 19:22,Unable to upload Inventory provision journal,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Norway
INC0266421,07-10-2024 20:42,W5 - Finland Journal Error - Finland Entity (F01),L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Finland
INC0266144,04-10-2024 16:11,OneERP wave 5 Hypercare  CH06 and CH09 GL Error,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Saudi Arabia
INC0265736,01-10-2024 17:06,"OneERP wave 5 Hypercare - CH06-we have loaded the AR invoice template into SAP however the output PDF file is blank no description and the value, Kindly assist.",L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,UAE
INC0266412,07-10-2024 19:25,Wave 5 - Norway - Unable to update custom declaration journal in SAP.,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Norway
INC0265681,01-10-2024 14:33,OneERP - W3 - please perform the PZN (9276123) switch in material substitution table from material 2000000921 to 2000001362,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Order to Cash,,Poland
INC0266737,09-10-2024 22:08,W5 - Brazil - New Cost Centre for BR01 Request ,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Brazil
INC0266603,08-10-2024 23:58,Sweden - Reverse the Entry without SKU which we posted in P6 during Migration,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Sweden
INC0265741,01-10-2024 17:44,CH04 entity - 25010000 GRNI A/c Clearance error,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,,,
INC0266545,08-10-2024 17:40,SAP: We need to issue a credit note and a new invoice,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Technical,,Belgium
INC0268154,24-10-2024 16:23,Balancing profit center issue for Tax lines which are derived automatically.,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,France
INC0267548,16-10-2024 22:45,Payment method for vendor # 10036363 iNova,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Procure to Pay,,Canada
INC0266077,03-10-2024 21:57,Journal Error - Finland Entity (F01),L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,,,
INC0266204,04-10-2024 23:37,W1 - France - Email update for Direct Debit statement,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Order to Cash,,France
INC0266544,08-10-2024 17:31,"While uploading the journal i am getting error for Tax code, could you please help me to resolve this issue",L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Multiple
INC0265930,02-10-2024 22:24,Hypercare - OneERP - Denmark (60014851 - Request is approved but still error showing penidng with approval),L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Order to Cash,,Denmark
INC0267987,22-10-2024 20:05,SAP migration accounts need to be blocked,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Multiple
INC0266573,08-10-2024 19:59,Journal posting -error,L2 - OneERP - S/4 HANA - CFS BAU,Oct-24,Record to Report,,Finland
INC0264943,23-09-2024 20:43,MMCO - AT01 Credit note not picking in the payment run,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Procure to Pay,,Switzerland
INC0263138,04-09-2024 18:55,OneERP wave 5 Hypercare - Gulf - FOC quantities appearing correctly in invoice but not in GL reports,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Order to Cash,,Saudi Arabia
INC0263883,11-09-2024 18:39,NL inventory Volume not reflected in SAP GL account,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Supply Chain,,Belgium
INC0265341,26-09-2024 22:52,Missing Trading Partner codes from Supplier identifiers,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,,,
INC0264950,23-09-2024 22:14,Wave 5 - Brazil - Error when running a payment - vendor 10035365,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Procure to Pay,,Brazil
INC0265390,27-09-2024 16:06,PO GL 16014000  blocked error in Esker while creating PO,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Procure to Pay,,Italy
INC0263683,10-09-2024 04:00,Wave 5 - Brazil - Journal Entry Item Text,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Record to Report,,Brazil
INC0263034,03-09-2024 21:46,Need immediate correction on TAX code - CH MEA Aug'24 (CH06),L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Record to Report,,Switzerland
INC0265045,24-09-2024 17:08,Denmark_Tax Code Error,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Procure to Pay,,Denmark
INC0263012,03-09-2024 20:30,SOLD TO,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Order to Cash,,Multiple
INC0263221,05-09-2024 16:44,MNE CH09 Invoice Value Mismatch,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Supply Chain,,Service Entities
INC0264778,21-09-2024 02:37,W5 Brazil - Invoice (Danfe) not accounted for in July/2024,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Order to Cash,,Brazil
INC0262826,02-09-2024 16:07,idoc 810702,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Order to Cash,,France
INC0262953,03-09-2024 15:40,Finland Banks Statements are missing from 27/08/2024 - 31/08/2024,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Order to Cash,,Finland
INC0263734,10-09-2024 16:36,FW: FIN0008141 - Create/Amend Vendor Request - New - SAP - Graham Hodge,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Record to Report,,Ireland
INC0264091,13-09-2024 17:04,MDG Vendor - Change mail adress,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Procure to Pay,,Italy
INC0263133,04-09-2024 18:33,"ESKER, CH04 Unable to open VAT declaration needed for invoices related to custom- vendor 10031399",L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Procure to Pay,,Switzerland
INC0264576,19-09-2024 17:54,Wave 5 -  Norway - ONERP - PGI Issue with Deliveries,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Order to Cash,,Norway
INC0264760,20-09-2024 21:45,DK01_ Item category Requisition,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Procure to Pay,,Denmark
INC0263132,04-09-2024 18:29,Unable to upload the journal tempate in SAP-DE02 & DE03,L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Record to Report,,Germany
INC0262896,02-09-2024 22:51,"In Sweden, Audit Fees GL (65302000) we need to post accrual without Tax code",L2 - OneERP - S/4 HANA - CFS BAU,Sep-24,Record to Report,,Sweden
INC0262042,22-08-2024 19:26,"In our daily monitoring we have observed that "" DD1511_SHPORD_NEXTPHARMA "" Interface is failing with Authorization Issue.",L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Technical,,Germany
INC0261117,12-08-2024 16:19,Expense approved in Concur has not been posted into SAP/New employees vendor have not set up correctly,L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Procure to Pay,,Japan
INC0259976,02-08-2024 16:51,DD5201 interface was failed in CPI level,L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Technical,,Japan
INC0262147,23-08-2024 18:43,Financial posting failed - AE01,L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Procure to Pay,,UAE
INC0259852,01-08-2024 18:21,Germany bank statement to loaded in SAP,L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Order to Cash,,Germany
INC0261945,21-08-2024 18:53,Recieved an email saying my expenses hasnt gone through - moved companies,L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Procure to Pay,,Service Entities
INC0259960,02-08-2024 14:58,Need to add FX Rates in SAP - Sweden and Denmark,L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Record to Report,,Denmark
INC0261759,19-08-2024 18:49,Missing bank details for employees in SA.,L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Technical,,South Africa
INC0261768,19-08-2024 20:38,SAP Employee Vendor has not been generated,L2 - OneERP - S/4 HANA - Interfaces and CPI,Aug-24,Procure to Pay,,Japan
INC0257589,10-07-2024 21:26,SAP Failed Idoc number# 751566 ___ EXCHANGE_RATE,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Technical,,Italy
INC0257869,13-07-2024 03:25,"The Spanish and French 3PL warehouse company is currently affected by ransomware; please confirm all connectivity details to IT Security (Steve Twinn, Catherine Moore)",L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Order to Cash,,Spain
INC0257845,12-07-2024 20:08,Concur/SAP,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Procure to Pay,,Germany
INC0257145,05-07-2024 17:19,DD5201_WorkDay_To_SAP_S4HANA_Employee_Mini_Master_HRMS_Integration_Change_MassLoad,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Technical,,Australia
INC0256986,04-07-2024 17:15,DD5202_WorkDay_To_SAP_S4HANA_Employee_Mini_Master_HRMS_Integration_Change_MassLoad,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Technical,,France
INC0257075,05-07-2024 01:57,Update bank details in SAP system to initiate payment of expenses,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Record to Report,,Canada
INC0258406,18-07-2024 17:43,DD5201 interface was failed in CPI level,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Technical,,Austria
INC0257137,05-07-2024 15:47,Electronic bank statements not loaded,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Order to Cash,,Germany
INC0258402,18-07-2024 16:44,Bank file on 16072024 unprocessed in SAP due to missing 888 code for Germany TM5.,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Technical,,Germany
INC0257498,10-07-2024 02:40,Wave 2 Canada - Manually resend EDI 810 invoices - 9217003321 & 9217003323,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jul-24,Order to Cash,,Canada
INC0256012,25-06-2024 17:28,DD5202_WorkDay_To_SAP S4HANA_Employee Mini Master HRMS Integration_Change_MassLoad - Interface failed in CPI,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jun-24,Technical,,Multiple
INC0256335,28-06-2024 00:27,In our monitoring we have Identified the DD4424 Interface was failing in production syetm.,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jun-24,Technical,,Austria
INC0254790,12-06-2024 19:16,ES01 - SPAIN - Employee accounts with no bank details,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jun-24,Procure to Pay,,Spain
INC0254245,06-06-2024 17:23,DD5202_WorkDay_To_SAP S4HANA_Employee Mini Master HRMS Integration_Change_MassLoad - its failed in CPI.,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jun-24,Technical,,France
INC0254592,11-06-2024 16:00,DD5202 interface was failed in CPI level.,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jun-24,Technical,,Italy
INC0254362,07-06-2024 18:08,DD5202_WorkDay_To_SAP S4HANA_Employee Mini Master HRMS Integration_Change_MassLoad,L2 - OneERP - S/4 HANA - Interfaces and CPI,Jun-24,Technical,,Germany
INC0252473,16-05-2024 16:31,DD5202 interface was failed in CPI level.,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Technical,,Germany
INC0251293,03-05-2024 18:57,ES SAP - IA NEW MAPPING IS NEEDED IN THE EDICOM DOCUMENT TO MAKE IT CORRECT FOR THE CLIENT.,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Technical,,France
INC0253318,27-05-2024 21:09,CANADA SAP - Orders not received by Lynden (Canada 3PL) on May 24,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,"3rd Party Logistics, Order to Cash",,Canada
INC0253012,22-05-2024 16:37, DD0828 interface was failed in CPI level.,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Technical,,Australia
INC0253096,23-05-2024 15:30,1486 3PL IDocs got failed on 22.05.2024,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Order to Cash,,Multiple
INC0252303,15-05-2024 16:28,DD0227 Interface was failed in CPI,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Technical,,Australia
INC0252528,17-05-2024 00:57,Wave 2 Canada - EDI940 files are not being received by our 3PL for orders with 3 text lines,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Technical,,Canada
INC0253188,24-05-2024 15:47,erp - concur -payment of employee expense reports - bank details are missing - it is not possible to do payment,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Record to Report,,Italy
INC0251763,09-05-2024 17:31,In our daily monitoring we have identifed that some of the Idocs are failed.,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Technical,,Austria
INC0251488,07-05-2024 16:00,Tax invoice error,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Order to Cash,,Korea
INC0251864,10-05-2024 16:26,In Our daily monitoring we abbsorved that DD3783 interface was failed in CPI level.,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Technical,,Italy
INC0252571,17-05-2024 15:49,DD5202 interface was failed in CPI level.,L2 - OneERP - S/4 HANA - Interfaces and CPI,May-24,Technical,,Canada
INC0268761,01-11-2024 18:13,"The Employee has not been created in SAP for the Work Day ID - 1002229 - P-1002229  , 1004746 - P-54386, 1004754 - P-52428, 1004763 - P-54949",L2 - OneERP - S/4 HANA - Interfaces and CPI,Nov-24,Technical,,Multiple
INC0268982,05-11-2024 00:19,Concur expense for Choonchu Kim,L2 - OneERP - S/4 HANA - Interfaces and CPI,Nov-24,Technical,,Canada
INC0267998,22-10-2024 21:57,Wave 4 - Italy - Expenses note blocked for posting,L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Record to Report,,Italy
INC0267897,21-10-2024 22:20,Wave 1 - Spain - Priority 1-  we still unable to send invoices by EDICOm - Link to CR closed CR 704,L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Order to Cash,,Spain
INC0268420,29-10-2024 01:33,"Wave 1 - FR01, ES01 & PT01 - To support an investigation, can example 3PL files going to and from the follwing 3PLs (France, Spain and Portugal) be shared",L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Supply Chain,,Multiple
INC0267608,17-10-2024 18:02,RE: ES01 - Employee accounts without bank details,L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Technical,,France
INC0268125,24-10-2024 10:04,Order Transmission Delay from E-order to SAP,L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Technical,,Korea
INC0268137,24-10-2024 14:57,File creted with cpi_al11_user ownership in the usr/sap/INT/PS4/400/OUT/esker/deladrc,L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Technical,,Canada
INC0268367,28-10-2024 16:56,"Bank Key details are not updated into SAP for this Workday id:- 1004373, P-53934",L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Technical,,Multiple
INC0267412,15-10-2024 20:25,"The Employee has not been created in SAP for the Work Day ID - 1004761- P-54962  , 1004740 - P-1000295",L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Technical,,Multiple
INC0265941,02-10-2024 23:59,"The Employee has not been created in SAP for the Work Day ID - 1000125, 1000286 -  1000518, 1001081 , 1001733 , 1003940, 1004257, 1004724 , 1001507 , 1004465 1004412 ",L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,"Record to Report, Technical",,Multiple
INC0268268,25-10-2024 17:29,"The Employee has not been created in SAP for the Work Day ID 1000346, P-1000346 1001451, P-54097 1001027, P-54950 1001934, P-54840 1002111, P-54546",L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Technical,,Multiple
INC0265796,01-10-2024 23:34,The Employee has not been created in SAP for the Work Day ID - 1004754 P-52428 / 1004744 P-54890  / 1004755 P-54952 / C9000726 P-1000989 / 1004753 P-54947 /  1004743- P-54898  / 1004747 P-54908,L2 - OneERP - S/4 HANA - Interfaces and CPI,Oct-24,Technical,,Multiple
INC0265221,25-09-2024 23:57,South Korea Get Supplier Tax Invoice from SmartBill - iFlow is getting failed in CPI Prod,L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Technical,,Korea
INC0262839,02-09-2024 17:13,DD3877_SAPS4_To_TAGETIK_StockData_via_EDW,L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Technical,,Austria
INC0264578,19-09-2024 18:08,"The Employee has not been created in SAP for the Work Day ID - 1004734,  P-54915",L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Technical,,Italy
INC0264362,17-09-2024 16:51,DD4123_Create Sales Orders from Chiapparoli to SAP --> This Interface countinuously failing in CPI,L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Technical,,Italy
INC0264024,12-09-2024 21:27,W2 - Canada - Retrieve EDI810 raw data for Billing/Invoice - 9217003741,L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Technical,,Canada
INC0263735,10-09-2024 16:37,W3 CH SCM - SAP Quality client QS4 - 400 is not receiving any interface messages from ALLOGA_CH 3rd Party Logistics WMS system. I can't do UAT CR814. Please fix interface connection from ALLOGA_CH.,L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Technical,,Switzerland
INC0263062,04-09-2024 02:56,W2 - Canada - EDI820 - FamiliPrix - Missing/Failed to Process,L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Technical,,Canada
INC0264718,20-09-2024 17:24,Concour blocking posting,L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Record to Report,,Italy
INC0264079,13-09-2024 15:24,OneERP & Oracle interface issue - Several Cosopt & Trusopt orders not sending closure signals between SAP & Oracle,L2 - OneERP - S/4 HANA - Interfaces and CPI,Sep-24,Supply Chain,,Multiple
INC0260328,06-08-2024 18:03,"OneERP - Hypercare - Failed to create Delivery /PGI  (NL, SE, BE, NO)",L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Netherlands
INC0261833,20-08-2024 16:16,Please correct Customer Reference Field in Invoice Forms (see RITM0185739 ),L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Germany
INC0262626,30-08-2024 12:55,OneERP Wave 2 ANZ - Availability Issue block Deliveries and Goods Issue Postings (Sama Kalyan),L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Australia
INC0260545,07-08-2024 20:37,W5 - Brazil - NFe Monitor - Dist Log Error - There is no Recipient E-mail selected for this document,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Brazil
INC0261326,13-08-2024 22:17,Invoices with quantity @ zero (0 units) are not automatically created in SAP (France),L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,France
INC0261084,12-08-2024 13:56,BR8A invoice jobs are getting failed in PS4 system.,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Brazil
INC0260374,06-08-2024 21:48,W5 - Brazil - Cannot release Sales Orders using SAP Credit Management,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Brazil
INC0261928,21-08-2024 16:46,Several sales orders not invoiced,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Germany
INC0261999,22-08-2024 15:37,"ZA SAP Customer Invoice, Credit Note & Debit Note Template Amendment Request",L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,South Africa
INC0262483,28-08-2024 17:48,ABAP Dumps created continuously in the PS4 system with error BCD_ZERODIVIDE,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Germany
INC0261443,15-08-2024 03:37,W5 - BR01 - The way batch split was set up is taking ICMS values only from first line of the splitted batch ignoring other lines,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Brazil
INC0260501,07-08-2024 17:11,OneERP w5 Hypercare - ZA  - State pricing not being applied to Sales Order Uploads,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,South Africa
INC0259812,01-08-2024 15:13,OneERP - Hypercare (Norway - Automated generate mail failed),L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Norway
INC0261395,14-08-2024 19:41,One ERP - W3 - change in material substitution table for 3 SKUs,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Germany
INC0261981,22-08-2024 10:36,W5 - Problems with FR Cx invoices issuance / re-issuance for MEA GmbH for June 2024 and other periods,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Multiple
INC0260329,06-08-2024 18:08,"OneERP, Wave 5, MEA, MU: price condition ATX1 missing for SO 180499",L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,UAE
INC0260287,06-08-2024 13:57,"OneERP, Wave 5, MEA, LB, Invoice stuck: Delivery 80185727 has goods issue problem",L2 - OneERP - S/4 HANA - O2C,Aug-24,"Procure to Pay, Order to Cash",,Switzerland
INC0262373,27-08-2024 15:42,ERP SAP - issue order 187884,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Italy
INC0260854,10-08-2024 04:49,W5 - Brazil - Monthly Invoice Report for Brazil (ZOTC_BR_INVREP) not working correctly,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Brazil
INC0261333,14-08-2024 00:37,W5 - Brazil - Samples to lab Nota fiscal rejected by Sefaz,L2 - OneERP - S/4 HANA - O2C,Aug-24,Order to Cash,,Brazil
INC0258700,22-07-2024 10:57,SAP issue,L2 - OneERP - S/4 HANA - O2C,Jul-24,Order to Cash,,Korea
INC0258276,17-07-2024 18:37,order in status COM,L2 - OneERP - S/4 HANA - O2C,Jul-24,Order to Cash,,France
INC0257859,12-07-2024 22:28,Credit note triggered as Invoice via CEGEDIM,L2 - OneERP - S/4 HANA - O2C,Jul-24,Order to Cash,,France
